t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2026,43280.93277,52331.09096,17841.57939,12863.08698,14890.04792,16023.68855,9031.121067,2876.352819,2049.262627,14652.49981,36104.92147,23159.29983,18790.80354,11745.74722,11757.56738,22691.17636,16113.83101,6662.755838,30342.06801,23912.16702,9403.676442,9100.451106,37050.81597,37122.65277,3436.654189,3304.033259
2027,43726.60249,52953.5537,18239.02215,13250.27595,15214.53949,16437.64632,9363.196691,2999.221536,2133.189955,15072.74719,36533.51469,23747.22655,19243.66685,12182.23166,12241.64919,23390.19254,16473.36713,6957.251737,31110.5242,24939.48194,9719.324622,9520.935871,37541.93003,37574.17723,3568.963255,3394.619154
2028,44176.86134,53583.42045,18645.31844,13649.11961,15546.10255,16862.29832,9707.482783,3127.338816,2220.554518,15505.04767,36967.19564,24350.07849,19707.44427,12634.93633,12745.66159,24110.74236,16840.92531,7264.764446,31898.44264,26010.93239,10045.56799,9960.84906,38039.55387,38031.19361,3706.366138,3487.688621
2029,44631.75656,54220.77927,19060.66547,14059.96878,15884.89121,17297.92083,10064.42832,3260.928863,2311.497087,15949.74692,37406.02471,24968.23455,20182.39886,13104.46398,13270.42516,24853.48918,17216.68454,7585.869313,32706.31624,27128.4145,10382.7622,10421.08836,38543.7738,38493.7687,3849.058948,3583.309751
2030,45091.33591,54865.71929,19485.26485,14483.18483,16231.06292,17744.79725,10434.4988,3400.225454,2406.164199,16407.20056,37850.06303,25602.08325,20668.79997,13591.43978,13816.79425,25619.11678,17600.82782,7921.167116,33534.65039,28293.9059,10731.27483,10902.59294,39054.67723,38961.97011,3997.245343,3681.552504
2031,45605.37417,55389.92066,19906.17775,14903.95388,16539.38985,18173.86516,10781.38119,3539.423803,2504.085296,16832.04529,38316.1614,26201.36923,21119.90581,14046.63715,14291.60353,26277.66324,17945.59485,8232.13627,34256.35964,29198.45979,11055.56804,11340.18595,39493.31111,39399.24885,4144.503496,3779.071203
2032,46125.27243,55919.13038,20336.18303,15336.94721,16853.57379,18613.3079,11139.79526,3684.320651,2605.991383,17267.89086,38787.99946,26814.68312,21580.85724,14517.07975,14782.72947,26953.13781,18297.11522,8555.313449,34993.60102,30131.93219,11389.66121,11795.34245,39936.8714,39841.43526,4297.186627,3879.173023
2033,46651.09749,56453.39631,20775.47712,15782.51997,17173.72601,19063.37632,11510.12438,3835.149283,2712.044633,17715.02212,39265.64789,27442.35327,22051.86914,15003.27816,15290.73277,27645.97564,18655.52121,8891.177917,35746.70878,31095.24762,11733.85049,12268.76739,40385.41345,40288.58442,4455.494591,3981.926388
2034,47182.91693,56992.76676,21224.26067,16241.03763,17499.95987,19524.32738,11892.76465,3992.152534,2822.413819,18173.73131,39749.17824,28084.71575,22533.16108,15505.76008,15816.19343,28356.62306,19020.9477,9240.227751,36516.02441,32089.36017,12088.44098,12761.19399,40838.99319,40740.75204,4619.634605,4087.401532
2035,47720.79908,57537.29049,21682.73866,16712.87624,17832.3909,19996.42419,12288.12533,4155.583179,2937.274582,18644.31823,40238.66295,28742.11445,23024.95744,16025.07086,16359.71136,29085.53786,19393.5322,9602.980583,37301.89671,33115.25442,12453.747,13273.38493,41297.66721,41197.99443,4789.821523,4195.670552
